,current_player,peak_today,game,all_reviews,release_date,developer,popular_tags,game_details,achievements,genre,original_price,discount_price
37,21961,23606,The Elder Scrolls Online,"Mostly Positive,(36,796),- 76% of the 36,796 user reviews for this game are positive.",4-Apr-14,Zenimax Online Studios,"RPG,MMORPG,Open World,Massively Multiplayer,Fantasy,Multiplayer,Adventure,First-Person,Exploration,Story Rich,Third Person,Action,Magic,Co-op,Atmospheric,Great Soundtrack,Action RPG,Masterpiece,Singleplayer,Sandbox","MMO,Steam Trading Cards,Partial Controller Support",,"Massively Multiplayer,RPG",$19.99 ,$9.99 
1,431365,678801,Dota 2,"Very Positive,(1,015,621),- 85% of the 1,015,621 user reviews for this game are positive.",9-Jul-13,Valve,"Free to Play,MOBA,Multiplayer,Strategy,e-sports,Team-Based,Competitive,Action,Online Co-Op,PvP,Difficult,Co-op,RTS,Tower Defense,Fantasy,RPG,Character Customization,Replay Value,Action RPG,Simulation","Multi-player,Co-op,Steam Trading Cards,Steam Workshop,SteamVR Collectibles,In-App Purchases,Valve Anti-Cheat enabled",,"Action,Free to Play,Strategy",Free to Play,$65.70 
8,82171,86333,Team Fortress 2,"Very Positive,(553,458),- 93% of the 553,458 user reviews for this game are positive.",10-Oct-07,Valve,"Free to Play,Multiplayer,FPS,Shooter,Action,Class-Based,Team-Based,Funny,First-Person,Online Co-Op,Competitive,Cartoony,Trading,Co-op,Comedy,Robots,Tactical,Cartoon,Crafting,Moddable","Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,In-App Purchases,Partial Controller Support,Valve Anti-Cheat enabled,Stats,Includes level editor,Commentary available",520,"Action,Free to Play",Free to Play,$65.70 
18,42195,48791,Dead by Daylight,"Mostly Positive,(138,492),- 76% of the 138,492 user reviews for this game are positive.",14-Jun-16,Behaviour Digital Inc.,"Horror,Survival Horror,Multiplayer,Co-op,Survival,Stealth,Gore,Online Co-Op,Blood,Third Person,Team-Based,Atmospheric,Action,Violent,Psychological Horror,First-Person,Strategy,Comedy,Mature,Difficult","Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",128,Action,$19.99 ,$24.48 
2,247776,250338,Among Us,"Very Positive,(106),- 84% of the 106 user reviews for this game are positive.",16-Nov-18,Innersloth,"Casual,Multiplayer,Local Multiplayer,Space,Online Co-Op,2D,Survival,Indie,Local Co-Op,Colorful,PvP,Psychological,Co-op,Minigames,Aliens,Top-Down,Sci-fi,Cartoony,Free to Play","Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Cross-Platform Multiplayer",,Casual,$4.99 ,
63,14904,19194,Counter-Strike,"Overwhelmingly Positive,(66,438),- 96% of the 66,438 user reviews for this game are positive.",1-Nov-00,Valve,"Action,FPS,Multiplayer,Shooter,Classic,Team-Based,First-Person,Competitive,Tactical,1990's,e-sports,PvP,Old School,Military,Strategy,Masterpiece,Survival,Score Attack,1980s,Assassin","Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled",,Action,$9.99 ,$65.70 
9,79150,85441,Rust,"Very Positive,(206,811),- 80% of the 206,811 user reviews for this game are positive.",8-Feb-18,Facepunch Studios,"Survival,Crafting,Multiplayer,Open World,Building,Sandbox,PvP,Adventure,First-Person,Action,FPS,Nudity,Early Access,Co-op,Shooter,Indie,Online Co-Op,Post-apocalyptic,Simulation,Survival Horror","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats",48,"Action,Adventure,Indie,Massively Multiplayer,RPG",$34.99 ,
6,99634,435473,PLAYERUNKNOWN'S BATTLEGROUNDS,"Mixed,(836,608),- 49% of the 836,608 user reviews for this game are positive.",21-Dec-17,PUBG Corporation,"Survival,Shooter,Multiplayer,Battle Royale,PvP,FPS,Third-Person Shooter,Action,Online Co-Op,Tactical,Co-op,First-Person,Early Access,Strategy,Competitive,Third Person,Team-Based,Difficult,Simulation,Stealth","Multi-player,Online Multi-Player,Stats",37,"Action,Adventure,Massively Multiplayer",$29.99 ,
64,14652,15739,Paladins,"Very Positive,(204,137),- 83% of the 204,137 user reviews for this game are positive.",8-May-18,Evil Mojo Games,"Free to Play,Multiplayer,FPS,Shooter,Team-Based,Action,First-Person,PvP,MOBA,Online Co-Op,Fantasy,Early Access,Strategy,Co-op,Massively Multiplayer,Funny,Adventure,Survival,Anime,Memes","Multi-player,Online Multi-Player,Steam Achievements,Steam Trading Cards,In-App Purchases,Partial Controller Support",58,"Action,Free to Play",Free to Play,
92,8140,8521,Squad,"Very Positive,(21,514),- 83% of the 21,514 user reviews for this game are positive.",14-Dec-15,Offworld Industries,"Early Access,Military,FPS,Realistic,Multiplayer,Tactical,Shooter,War,Team-Based,Action,First-Person,Strategy,Early Access,Simulation,Open World,Co-op,Massively Multiplayer,Atmospheric,Walking Simulator,Indie","Multi-player,Online Multi-Player,Steam Trading Cards,Steam Workshop,Partial Controller Support,Valve Anti-Cheat enabled",,"Action,Indie,Strategy,Early Access",$39.99 ,
26,30187,31563,DayZ,"Mixed,(167,115),- 61% of the 167,115 user reviews for this game are positive.",13-Dec-18,Bohemia Interactive,"Survival,Zombies,Open World,Multiplayer,PvP,Massively Multiplayer,Action,Early Access,Simulation,FPS,Post-apocalyptic,Survival Horror,Shooter,Sandbox,Adventure,Indie,Co-op,Atmospheric,Horror,Military","Multi-player,Online Multi-Player,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled",,"Action,Adventure,Massively Multiplayer",$44.99 ,
0,802725,1040051,Counter-Strike: Global Offensive,"Very Positive,(3,094,223),- 86% of the 3,094,223 user reviews for this game are positive.",21-Aug-12,"Valve,Hidden Path Entertainment","FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,e-sports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Fast-Paced,Realistic,Moddable","Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats",167,"Action,Free to Play",Free to Play,$65.70 
38,21703,21703,SMITE,"Mostly Positive,(44,074),- 79% of the 44,074 user reviews for this game are positive.",8-Sep-15,Titan Forge Games,"Free to Play,MOBA,Multiplayer,Third Person,Action,Mythology,Team-Based,Competitive,Strategy,PvP,Co-op,Massively Multiplayer,e-sports,RPG,MMORPG,Adventure,Funny,Survival,Casual,Nudity","Multi-player,Steam Achievements,Steam Trading Cards",265,"Action,Free to Play",Free to Play,
5,100531,106331,Source SDK Base 2013 Multiplayer,"Very Positive,(4,185),- 86% of the 4,185 user reviews for this game are positive.",1-Nov-04,Valve,"Action,FPS,Multiplayer,Shooter,First-Person,Sci-fi,Physics,Competitive,Funny,Co-op,Old School,Masterpiece,PvP,Arena Shooter,Atmospheric,Moddable,Free to Play,Adventure,Great Soundtrack,Singleplayer","Multi-player,Valve Anti-Cheat enabled,Includes Source SDK",,Action,$4.99 ,$65.70 
65,13902,18782,Fall Guys: Ultimate Knockout,,2020,Mediatonic,"Casual,Sports,Indie,Massively Multiplayer","Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Full controller support",,"Casual,Indie,Massively Multiplayer,Sports",,
85,8702,11287,Albion Online,"Mixed,(4,745),- 54% of the 4,745 user reviews for this game are positive.",17-Jul-17,Sandbox Interactive GmbH,"Massively Multiplayer,MMORPG,Free to Play,Open World,Crafting,Sandbox,RPG,PvP,Multiplayer,PvE,Survival,Medieval,Economy,Loot,Fantasy,Difficult,Strategy,Action,Singleplayer,Indie","Online Multi-Player,MMO,Cross-Platform Multiplayer,Steam Achievements,In-App Purchases",93,"Free to Play,Massively Multiplayer,RPG",Free to Play,
86,8609,12350,Conqueror's Blade,"Mixed,(2,029),- 46% of the 2,029 user reviews for this game are positive.",30-May-19,Booming Games,"Action,Strategy,Massively Multiplayer,Open World,Medieval,Strategy RPG,Free to Play,War,Multiplayer","Online Multi-Player,MMO,Online Co-op,In-App Purchases",48,"Action,Free to Play,Massively Multiplayer,Strategy",Free To Play,
57,15607,15814,Black Desert Online,"Mixed,(14,413),- 64% of the 14,413 user reviews for this game are positive.",24-May-17,Pearl Abyss,"MMORPG,Massively Multiplayer,Open World,RPG,Fantasy,Character Customization,Adventure,PvP,Action,Multiplayer,Sandbox,Third Person,Nudity,Hack and Slash,Co-op,Fishing,Violent,Female Protagonist,Strategy,Simulation","Online Multi-Player,MMO,Online Co-op,Steam Trading Cards,In-App Purchases,Partial Controller Support",,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy",$9.99 ,
84,8710,8947,Warhammer: Vermintide 2,"Mostly Positive,(22,740),- 75% of the 22,740 user reviews for this game are positive.",8-Mar-18,Fatshark,"Co-op,First-Person,Hack and Slash,Gore,Multiplayer,Online Co-Op,Dark Fantasy,Violent,Action,Fantasy,PvE,Games Workshop,Atmospheric,Action RPG,FPS,Survival,Singleplayer,Adventure,Open World,Indie","Single-player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support",26,Action,$29.99 ,
21,38022,48519,War Thunder,"Mostly Positive,(107,537),- 78% of the 107,537 user reviews for this game are positive.",15-Aug-13,Gaijin Entertainment,"Free to Play,World War II,Multiplayer,Simulation,War,Tanks,Flight,Military,Massively Multiplayer,Action,Realistic,Historical,Team-Based,Shooter,Strategy,Co-op,Arcade,FPS,Open World,TrackIR","Single-player,MMO,Co-op,Cross-Platform Multiplayer,Steam Achievements,In-App Purchases,Partial Controller Support",46,"Action,Free to Play,Massively Multiplayer,Simulation",Free to Play,
70,12228,14986,Mount & Blade II: Bannerlord,,To Be Announced,TaleWorlds Entertainment,"Medieval,Open World,Strategy,War,RPG,Sandbox,Singleplayer,Action,Multiplayer,Moddable,Adventure,Horses,Simulation,Character Customization,Realistic,Historical,First-Person,Third Person,Great Soundtrack,Co-op","Single-player,Multi-player",,"Action,RPG,Simulation,Strategy",,
59,15283,26982,Don't Starve Together,"Overwhelmingly Positive,(70,020),- 96% of the 70,020 user reviews for this game are positive.",21-Apr-16,Klei Entertainment,"Survival,Multiplayer,Co-op,Open World,Adventure,Crafting,Online Co-Op,Sandbox,Difficult,Indie,2D,Funny,Atmospheric,Survival Horror,Strategy,Horror,Singleplayer,Action,Rogue-like,Simulation","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Full controller support,Steam Trading Cards,Steam Workshop",,"Adventure,Indie,Simulation",$14.99 ,$28.09 
25,30413,30971,7 Days to Die,"Mostly Positive,(55,096),- 77% of the 55,096 user reviews for this game are positive.",13-Dec-13,The Fun Pimps,"Early Access,Survival,Zombies,Open World,Crafting,Multiplayer,Sandbox,Building,Co-op,Survival Horror,Adventure,Action,Early Access,Horror,Online Co-Op,FPS,Singleplayer,RPG,Indie,Gore","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Includes level editor",43,"Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access",$24.99 ,
28,29216,34419,Farming Simulator 19,"Mostly Positive,(6,474),- 76% of the 6,474 user reviews for this game are positive.",19-Nov-18,Giants Software,"Simulation,Agriculture,Multiplayer,Realistic,Singleplayer,Driving,Open World,Management,Resource Management,Moddable,Co-op,Relaxing,First-Person,Online Co-Op,Atmospheric,Family Friendly,Strategy,Economy,Casual,Adventure","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",23,Simulation,$34.99 ,
23,34805,39874,Garry's Mod,"Overwhelmingly Positive,(310,394),- 95% of the 310,394 user reviews for this game are positive.",29-Nov-06,Facepunch Studios,"Sandbox,Multiplayer,Funny,Moddable,Building,Comedy,Co-op,First-Person,Mod,Simulation,Physics,Online Co-Op,FPS,Singleplayer,Action,Shooter,Animation & Modeling,Indie,Massively Multiplayer,Adventure","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor",29,"Indie,Simulation",$9.99 ,
22,35390,38896,Hearts of Iron IV,"Very Positive,(30,585),- 86% of the 30,585 user reviews for this game are positive.",6-Jun-16,Paradox Development Studio,"Strategy,World War II,Grand Strategy,Historical,War,Military,Alternate History,Multiplayer,Real-Time with Pause,Simulation,Tactical,Singleplayer,RTS,Diplomacy,Sandbox,Co-op,Great Soundtrack,Open World,Action,Casual","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud",92,"Simulation,Strategy",$39.99 ,$94.45 
19,40219,45925,PAYDAY 2,"Very Positive,(215,078),- 84% of the 215,078 user reviews for this game are positive.",13-Aug-13,OVERKILL - a Starbreeze Studio.,"Co-op,Action,FPS,Heist,Online Co-Op,Stealth,Multiplayer,Crime,Shooter,Team-Based,First-Person,Great Soundtrack,Gun Customization,Tactical,PvE,Strategy,Singleplayer,Simulation,Funny,Adventure","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases",1130,"Action,RPG",$9.99 ,$20.16 
80,8932,9709,The Forest,"Very Positive,(101,595),- 92% of the 101,595 user reviews for this game are positive.",30-Apr-18,Endnight Games Ltd,"Survival,Open World,Horror,Crafting,Adventure,Building,Survival Horror,First-Person,Action,Exploration,Sandbox,Atmospheric,Simulation,Singleplayer,Indie,Realistic,Gore,Early Access,Masterpiece,Zombies","Single-player,Multi-player,Co-op,Partial Controller Support,Steam Cloud",45,"Action,Adventure,Indie,Simulation",$19.99 ,
4,117465,121519,Rocket League,"Very Positive,(188,275),*,- 91% of the 188,275 user reviews for this game are positive.,This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",7-Jul-15,"Psyonix, Inc.","Multiplayer,Soccer,Competitive,Sports,Racing,Team-Based,Online Co-Op,Football,Fast-Paced,Co-op,Funny,Action,Great Soundtrack,Local Multiplayer,Split Screen,Local Co-Op,Singleplayer,Casual,4 Player Local,Indie","Single-player,Multi-player,Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats",88,"Action,Indie,Racing,Sports",$19.99 ,
66,13139,15182,DARK SOULSâ„¢ III,"Very Positive,(72,726),- 90% of the 72,726 user reviews for this game are positive.",11-Apr-16,"FromSoftware, Inc.","Dark Fantasy,Difficult,RPG,Atmospheric,Lore-Rich,Third Person,Exploration,Story Rich,Co-op,Action RPG,PvP,Adventure,Great Soundtrack,Action,Open World,Multiplayer,Singleplayer,Replay Value,Character Customization,Horror","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards",43,Action,$59.99 ,$14.99 
48,19048,26958,Left 4 Dead 2,"Overwhelmingly Positive,(156,890),- 96% of the 156,890 user reviews for this game are positive.",16-Nov-09,Valve,"Zombies,Co-op,FPS,Multiplayer,Shooter,Action,Online Co-Op,Survival,Horror,First-Person,Gore,Team-Based,Moddable,Survival Horror,Post-apocalyptic,Singleplayer,Adventure,Replay Value,Local Co-Op,Tactical","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK,Commentary available",70,Action,$9.99 ,$14.98 
50,18511,18628,Stardew Valley,"Overwhelmingly Positive,(104,530),- 96% of the 104,530 user reviews for this game are positive.",26-Feb-16,ConcernedApe,"RPG,Pixel Graphics,Agriculture,Simulation,Relaxing,Crafting,Multiplayer,Sandbox,Indie,Building,Singleplayer,Casual,Great Soundtrack,2D,Open World,Cute,Fishing,Atmospheric,Dating Sim,Retro","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",40,"Indie,RPG,Simulation",$14.99 ,
83,8755,10093,Company of Heroes 2,"Mostly Positive,(27,873),- 74% of the 27,873 user reviews for this game are positive.",25-Jun-13,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)","Strategy,World War II,RTS,Multiplayer,Tactical,Historical,War,Military,Singleplayer,Co-op,Online Co-Op,Tanks,Action,Real-Time,Base Building,Real-Time with Pause,Atmospheric,Simulation,Great Soundtrack,Masterpiece","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats",452,Strategy,$19.99 ,$36.40 
12,65282,95794,Tom Clancy's Rainbow Six Siege,"Very Positive,(248,689),- 81% of the 248,689 user reviews for this game are positive.",1-Dec-15,Ubisoft Montreal,"FPS,Multiplayer,Tactical,Shooter,Team-Based,Action,First-Person,Co-op,Competitive,Strategy,Realistic,Online Co-Op,Destruction,Physics,Atmospheric,Psychological Horror,Massively Multiplayer,Singleplayer,Simulation,Casual","Single-player,Multi-player,Co-op,Steam Trading Cards,In-App Purchases,Partial Controller Support",,Action,$19.99 ,$53.95 
16,44940,65814,Warframe,"Very Positive,(250,319),- 91% of the 250,319 user reviews for this game are positive.",25-Mar-13,Digital Extremes,"Free to Play,Action,Co-op,Multiplayer,Third-Person Shooter,Sci-fi,Ninja,Shooter,Parkour,Space,Online Co-Op,Futuristic,Third Person,PvE,Massively Multiplayer,RPG,Hack and Slash,Singleplayer,FPS,Cyberpunk","Single-player,Multi-player,Co-op,Steam Trading Cards,In-App Purchases,Partial Controller Support",187,"Action,Free to Play",$19.99 ,$9.99 
51,17878,18031,Stellaris,"Mostly Positive,(33,954),- 77% of the 33,954 user reviews for this game are positive.",9-May-16,Paradox Development Studio,"Space,Strategy,Grand Strategy,Sci-fi,4X,Real-Time with Pause,Exploration,Multiplayer,RTS,Singleplayer,Replay Value,Great Soundtrack,Simulation,Moddable,Sandbox,Atmospheric,Open World,Story Rich,Building,Adventure","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud",104,"Simulation,Strategy",$39.99 ,$71.97 
36,22252,23302,Europa Universalis IV,"Very Positive,(35,444),- 82% of the 35,444 user reviews for this game are positive.",13-Aug-13,Paradox Development Studio,"Grand Strategy,Strategy,Historical,Simulation,Real-Time with Pause,Multiplayer,Sandbox,Military,Replay Value,Singleplayer,Diplomacy,Political,Education,Moddable,RTS,Medieval,Great Soundtrack,Open World,Co-op,4X","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud",295,"Simulation,Strategy",$39.99 ,$251.58 
14,52406,53404,Sid Meier's Civilization VI,"Mostly Positive,(1,113),- 73% of the 1,113 user reviews for this game are positive.",13-Feb-19,"Firaxis Games,Aspyr (Mac),Aspyr (Linux)","Strategy,Turn-Based,Turn-Based Strategy,4X,Grand Strategy,Multiplayer,Historical","Single-player,Multi-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Workshop",,Strategy,$39.99 ,
55,16523,16885,Elite Dangerous,"Mixed,(28,383),- 68% of the 28,383 user reviews for this game are positive.",2-Apr-15,Frontier Developments,"Space Sim,Space,Open World,Exploration,Sci-fi,Simulation,Massively Multiplayer,Multiplayer,First-Person,Action,Sandbox,Adventure,Online Co-Op,Trading,VR,Singleplayer,RPG,Difficult,Strategy,TrackIR","Single-player,Multi-player,MMO,Co-op,Partial Controller Support",,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy",$29.99 ,$320.94 
11,69134,83258,ARK: Survival Evolved,"Mixed,(168,982),- 69% of the 168,982 user reviews for this game are positive.",27-Aug-17,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC","Survival,Open World,Dinosaurs,Multiplayer,Crafting,Building,Adventure,Base Building,Co-op,Action,First-Person,Sandbox,Early Access,Massively Multiplayer,Singleplayer,Dragons,RPG,Sci-fi,MMORPG,Indie","Single-player,Multi-player,MMO,Co-op,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor",32,"Action,Adventure,Indie,Massively Multiplayer,RPG",$49.99 ,$90.23 
62,15036,18874,VRChat,"Very Positive,(30,223),- 88% of the 30,223 user reviews for this game are positive.",1-Feb-17,VRChat Inc.,"Early Access,VR,Free to Play,Memes,Anime,Funny,Multiplayer,Early Access,Massively Multiplayer,First-Person,Psychological Horror,Open World,Simulation,Casual,Sexual Content,Adventure,Horror,Nudity,MMORPG,Sports","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Partial Controller Support",,"Adventure,Casual,Free to Play,Massively Multiplayer,Simulation,Sports,Early Access",Free To Play,
71,11752,11843,No Man's Sky,"Mixed,(102,974),- 51% of the 102,974 user reviews for this game are positive.",12-Aug-16,Hello Games,"Open World,Space,Exploration,Sci-fi,First-Person,Procedural Generation,Survival,Adventure,Singleplayer,Sandbox,Atmospheric,Crafting,Space Sim,Indie,Action,Multiplayer,Simulation,FPS,Great Soundtrack,Massively Multiplayer","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Cloud",27,"Action,Adventure",$59.99 ,
20,39986,42976,Terraria,"Overwhelmingly Positive,(201,266),- 96% of the 201,266 user reviews for this game are positive.",16-May-11,Re-Logic,"Sandbox,Survival,2D,Adventure,Multiplayer,Crafting,Building,Pixel Graphics,Exploration,Co-op,Open World,Indie,Action,Online Co-Op,RPG,Singleplayer,Platformer,Replay Value,Atmospheric,Family Friendly","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",88,"Action,Adventure,Indie,RPG",$9.99 ,
